,sample id ,mouse,cage,genotype,exposure ,diet,vendor room 
d1930_aebuf5_S127,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_aebuf6_S128,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_aebuf7_S129,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead1_S123,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead2_S124,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead3_S125,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead4_S126,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead5_S157,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead6_S158,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead7_S159,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_h2o1_S222,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_h2o2_S223,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_m44c6_fe_t4_ran_S118,mouse,44,c6,t4,ran,5LOD,3
d1930_m45c7_f0_t4_ran_S70,mouse,45,c7,t4,ran,5LOD,3
d1930_m45c7_fe_t4_ran_S153,mouse,45,c7,t4,ran,5LOD,3
d1930_m46c8_f0_t4_ran_S33,mouse,46,c8,t4,ran,5LOD,3
d1930_m46c8_fe_t4_ran_S182,mouse,46,c8,t4,ran,5LOD,3
d1930_m47c1_f0_t4_ran_S20,mouse,47,c1,t4,ran,5LOD,3
d1930_m47c1_fe_t4_ran_S107,mouse,47,c1,t4,ran,5LOD,3
d1930_m48c2_f0_t4_ran_S60,mouse,48,c2,t4,ran,5LOD,3
d1930_m48c2_fe_t4_ran_S145,mouse,48,c2,t4,ran,5LOD,3
d1930_m49c3_f0_t4_ran_S23,mouse,49,c3,t4,ran,5LOD,3
d1930_m49c3_fe_t4_ran_S176,mouse,49,c3,t4,ran,5LOD,3
d1930_m4c9_f0_wt_non_S4,mouse,4,c9,wt,non,5LOD,1
d1930_m4c9_fe_wt_non_S74,mouse,4,c9,wt,non,5LOD,1
d1930_m50c4_f0_t4_ran_S63,mouse,50,c4,t4,ran,5LOD,3
d1930_m50c4_fe_t4_ran_S115,mouse,50,c4,t4,ran,5LOD,3
d1930_m51c13_f0_t4_non_S49,mouse,51,c13,t4,non,5LOD,3
d1930_m51c13_fe_t4_non_S101,mouse,51,c13,t4,non,5LOD,3
d1930_m52c13_f0_t4_non_S50,mouse,52,c13,t4,non,5LOD,3
d1930_m52c13_fe_t4_non_S137,mouse,52,c13,t4,non,5LOD,3
d1930_m53c13_f0_t4_non_S83,mouse,53,c13,t4,non,5LOD,3
d1930_m53c13_fe_t4_non_S138,mouse,53,c13,t4,non,5LOD,3
d1930_m54c13_f0_t4_non_S84,mouse,54,c13,t4,non,5LOD,3
d1930_m54c13_fe_t4_non_S139,mouse,54,c13,t4,non,5LOD,3
d1930_m55c13_f0_t4_non_S11,mouse,55,c13,t4,non,5LOD,3
d1930_m55c13_fe_t4_non_S140,mouse,55,c13,t4,non,5LOD,3
d1930_m56c14_f0_t4_non_S12,mouse,56,c14,t4,non,5LOD,3
d1930_m56c14_fe_t4_non_S169,mouse,56,c14,t4,non,5LOD,3
d1930_m57c14_f0_t4_non_S13,mouse,57,c14,t4,non,5LOD,3
d1930_m57c14_fe_t4_non_S170,mouse,57,c14,t4,non,5LOD,3
d1930_m58c15_f0_t5_non_S14,mouse,58,c15,t5,non,5LOD,4
d1930_m58c15_fe_t5_non_S171,mouse,58,c15,t5,non,5LOD,4
d1930_m59c15_f0_t5_non_S15,mouse,59,c15,t5,non,5LOD,4
d1930_m59c15_fe_t5_non_S102,mouse,59,c15,t5,non,5LOD,4
d1930_m5c9_f0_wt_non_S5,mouse,5,c9,wt,non,5LOD,1
d1930_m5c9_fe_wt_non_S75,mouse,5,c9,wt,non,5LOD,1
d1930_m60c15_f0_t5_non_S51,mouse,60,c15,t5,non,5LOD,4
d1930_m60c15_fe_t5_non_S103,mouse,60,c15,t5,non,5LOD,4
d1930_m61c15_f0_t5_non_S52,mouse,61,c15,t5,non,5LOD,4
d1930_m61c15_fe_t5_non_S104,mouse,61,c15,t5,non,5LOD,4
d1930_m62c15_f0_t5_non_S53,mouse,62,c15,t5,non,5LOD,4
d1930_m62c15_fe_t5_non_S105,mouse,62,c15,t5,non,5LOD,4
d1930_m63c16_f0_t5_non_S54,mouse,63,c16,t5,non,5LOD,4
d1930_m63c16_fe_t5_non_S106,mouse,63,c16,t5,non,5LOD,4
d1930_m64c16_f0_t5_non_S55,mouse,64,c16,t5,non,5LOD,4
d1930_m64c16_fe_t5_non_S141,mouse,64,c16,t5,non,5LOD,4
d1930_m65c16_f0_t5_non_S85,mouse,65,c16,t5,non,5LOD,4
d1930_m65c16_fe_t5_non_S142,mouse,65,c16,t5,non,5LOD,4
d1930_m66c16_f0_t5_non_S86,mouse,66,c16,t5,non,5LOD,4
d1930_m66c16_fe_t5_non_S143,mouse,66,c16,t5,non,5LOD,4
d1930_m67c16_f0_t5_non_S16,mouse,67,c16,t5,non,5LOD,4
d1930_m67c16_fe_t5_non_S144,mouse,67,c16,t5,non,5LOD,4
d1930_m68c7_f0_t5_ran_S91,mouse,68,c7,t5,ran,5LOD,4
d1930_m68c7_fe_t5_ran_S154,mouse,68,c7,t5,ran,5LOD,4
d1930_m69c8_f0_t5_ran_S34,mouse,69,c8,t5,ran,5LOD,4
d1930_m69c8_fe_t5_ran_S183,mouse,69,c8,t5,ran,5LOD,4
d1930_m6c10_f0_wt_non_S41,mouse,6,c10,wt,non,5LOD,1
d1930_m6c10_fe_wt_non_S93,mouse,6,c10,wt,non,5LOD,1
d1930_m70c1_f0_t5_ran_S56,mouse,70,c1,t5,ran,5LOD,4
d1930_m70c1_fe_t5_ran_S108,mouse,70,c1,t5,ran,5LOD,4
d1930_m71c2_f0_t5_ran_S87,mouse,71,c2,t5,ran,5LOD,4
d1930_m71c2_fe_t5_ran_S146,mouse,71,c2,t5,ran,5LOD,4
d1930_m72c3_f0_t5_ran_S24,mouse,72,c3,t5,ran,5LOD,4
d1930_m72c3_fe_t5_ran_S177,mouse,72,c3,t5,ran,5LOD,4
d1930_m73c4_f0_t5_ran_S64,mouse,73,c4,t5,ran,5LOD,4
d1930_m73c4_fe_t5_ran_S116,mouse,73,c4,t5,ran,5LOD,4
